,0,mode
0,8.027734445589104,Control
1,13.342131108965791,Control
2,4.06790012184788,Control
3,9.261440584572293,Control
4,4.6358555411854985,Control
5,7.990760053548276,Control
6,4.125503452437117,Control
7,11.051565974477965,Control
8,3.7948757109423843,Control
9,5.045232889608893,Control
10,-0.6502113286357252,Control
11,12.835491514978157,Control
12,3.648525548573713,Control
13,5.575863299339263,Control
14,8.716088327402717,Control
15,2.632337117887932,Control
16,6.721178295766293,Control
17,9.017732893732967,Control
18,0.8109662620330772,Control
19,5.660329531713101,Control
20,2.522804308079342,Control
21,13.431584057546429,Control
22,11.874164275640794,Control
23,2.3047311587496973,Control
24,4.9417051582565215,Control
25,5.309571704945392,Control
26,3.9173211761600903,Control
27,7.7907572391729305,Control
28,3.78052624866834,Control
29,1.6082112473353987,Control
30,0.5324265100687773,Control
31,3.0485418342471657,Control
0,0.02932111739054045,Occluder
1,3.3748061974398733,Occluder
2,0.9038334080826361,Occluder
3,4.5947265954698375,Occluder
4,4.733482339807905,Occluder
5,11.885819701136784,Occluder
6,4.78925968956285,Occluder
7,0.5624836193004137,Occluder
8,4.843007513438953,Occluder
9,1.9627056668669032,Occluder
10,3.4475482807683795,Occluder
11,5.80733443527648,Occluder
12,0.5426974307642729,Occluder
13,4.7295607601579315,Occluder
14,6.996756006990394,Occluder
15,2.933000380954146,Occluder
16,9.152282467735503,Occluder
17,6.8065445548400545,Occluder
18,1.5377270727057608,Occluder
19,1.6950991005003573,Occluder
20,4.776411659961847,Occluder
21,3.966266461332955,Occluder
22,3.4025002981282704,Occluder
23,1.765777555980657,Occluder
24,5.6272391138142455,Occluder
25,4.956314074960287,Occluder
26,3.693937834770737,Occluder
27,2.190987477663113,Occluder
28,1.7927512201132465,Occluder
29,9.671487911867414,Occluder
0,2.763226666429106,Vision Only
1,2.9791762747381356,Vision Only
2,7.227423379921353,Vision Only
3,3.638981331921722,Vision Only
4,3.725660889949882,Vision Only
5,1.2572907593191325,Vision Only
6,-1.463482717481122,Vision Only
7,3.930172237061626,Vision Only
8,-1.045153461785139,Vision Only
9,7.414944928815139,Vision Only
10,3.4670206740280642,Vision Only
11,2.3704624961237903,Vision Only
12,4.675216428850892,Vision Only
13,3.4569828509781453,Vision Only
14,2.5176881150876724,Vision Only
15,2.8631003325668116,Vision Only
16,-0.1712522554310699,Vision Only
17,2.99859703523882,Vision Only
