,area,BL4demonstrator,BL9demonstrator,BL17demonstrator,BL22demonstrator,BL6demonstrator,BL14demonstrator,BL3demonstrator
0,Frontal pole cerebral cortex,577.4270697581162,21.99722170507109,802.8985922350948,313.4604093,142.9819410829621,218.13911524195498,333.6245291935782
1,Primary motor area,2928.5888340055685,1018.1402325039256,805.8306319303631,294.2269882252552,763.7740762081539,1928.3521955038684,1683.2756398696288
2,Secondary motor area,1831.6745334934888,478.7946046034077,735.3021600323561,336.50164483580977,709.7099010813494,1275.2257031587403,1367.650318341805
3,Primary somatosensory area,3286.6792131307197,647.0130364627715,424.57733709103087,259.0289286505687,1135.9081673735766,2496.0896853708873,2202.225280812963
4,Supplemental somatosensory area,3221.330719534287,519.0157192197019,484.04732654054675,141.7809375900288,571.9981323699368,1349.5680277627855,2342.458450198189
5,Visceral area,1915.3333374217373,171.12404408112243,284.9450826,373.6469953,572.2450831887076,977.2909856926486,1161.7595653213816
6,Dorsal auditory area,4486.009579026968,1644.0635240736055,1455.0037811948562,183.00983110662952,1604.7390975548258,2475.9263927401034,3998.9916813713094
7,Primary auditory area,4973.636813955659,1108.8562865093247,1488.4094660022397,229.66035341141745,854.6520785,2094.993300203388,3168.786937336924
8,Posterior auditory area,5160.796812748995,1168.5372794536122,926.6704610130889,148.61696072851427,2205.941946499712,2704.2458736482595,3255.0028457598123
9,Ventral auditory area,2875.7816461044486,1028.2237620415765,1273.6183876964694,307.25029575798584,853.8110528984294,1616.3596417103283,2223.7620415751253
10,Anterolateral visual area,6921.0614458059745,2839.2853757338676,2414.6059391924773,354.3039870573886,4952.975599891302,5023.351049375305,5261.171533838483
11,Anteromedial visual area,3068.180195616468,1539.8015278075202,1224.530592,105.0903119868634,3056.757335617896,2092.667952,2695.7949596630174
12,Lateral visual area,4863.273338834045,2637.8103521107346,2455.892396792753,398.7035187385766,5031.547447503178,9238.400164231505,5011.839669010396
13,Primary visual area,4199.567482468651,1181.1876034212053,1822.8370949380214,216.41112018654965,3752.3900614073327,4911.909467563301,3541.6668430029076
14,Posterolateral visual area,2276.3900422483134,986.9012044103117,865.8661510392358,225.77692648066093,1934.2332567570024,3535.620116743546,2132.0790170751075
16,Laterointermediate area,0,0,0,0,0,0,0
17,Postrhinal area,0,0,0,0,0,0,0
18,Anterior cingulate area,2247.9786093972743,106.63970292412188,1631.3823783872876,588.5691296004419,1164.4918841746257,2484.1582078606343,2201.1528424081566
19,Prelimbic area,2087.930862244399,143.2663471281309,1262.7793328834705,309.2361044568945,558.9736167,1133.6047576040082,1673.006469
20,Infralimbic area,3067.3664111357025,41.21638034765088,2273.408768649375,277.6682465525954,1158.397216086609,1336.2784365343655,1648.6552139060354
21,Orbital area,2133.367432180176,574.0451131108681,714.5682556000227,282.33845180579556,1064.7454658488582,2270.983199307486,1668.833457698787
22,Agranular insular area,2661.8086231091306,525.9057136212782,739.6138149897814,384.7688307990803,1068.3048860030804,2089.7212249583854,1956.5954506770133
23,Retrosplenial area,2039.2785752839761,352.15000828752284,923.8951041323011,625.7825327498667,1539.1602833905736,1845.6142040939276,1765.1020497789634
24,Anterior area,0,0,0,0,0,0,0
